from_stop_id, to_stop_id, transfer_type, min_transfer_time
99011,99012,2,179
99011,99013,2,179
99011,99014,2,179
99012,99013,2,59
99012,99011,2,179
99012,99014,2,179
99013,99012,2,59
99013,99011,2,179
99013,99014,2,179
99014,99013,2,179
99014,99012,2,179
99014,99011,2,179
99024,99023,2,239
99024,99022,2,239
99024,99021,2,239
99023,99024,2,239
99023,99022,2,59
99023,99021,2,239
99022,99024,2,239
99022,99023,2,59
99022,99021,2,239
99021,99024,2,239
99021,99023,2,239
99021,99022,2,239
12202,12209,2,239
12201,12209,2,239
12199,12209,2,239
12198,12209,2,239
12197,12209,2,239
12196,12209,2,239
12195,12209,2,239
12223,12208,2,239
12224,12208,2,239
12225,12208,2,239
12226,12208,2,239
12227,12208,2,239
12228,12208,2,239
12221,12208,2,239
12218,12208,2,239
12217,12208,2,239
12216,12208,2,239
12215,12208,2,239
12207,12208,2,239
12206,12208,2,239
12205,12208,2,239
12204,12208,2,239
12203,12208,2,239
12202,12208,2,239
12201,12208,2,239
12199,12208,2,239
12198,12208,2,239
12197,12208,2,239
12196,12208,2,239
12195,12208,2,239
12223,12207,2,239
12224,12207,2,239
12225,12207,2,239
12226,12207,2,239
12227,12207,2,239
12228,12207,2,239
12221,12207,2,239
12218,12207,2,239
12217,12207,2,239
12216,12207,2,239
12215,12207,2,239
12214,12207,2,239
12213,12207,2,239
12212,12207,2,239
12211,12207,2,239
12210,12207,2,239
12209,12207,2,239
12208,12207,2,239
12199,12207,2,239
12198,12207,2,239
12197,12207,2,239
12196,12207,2,239
12195,12207,2,239
12223,12206,2,239
12224,12206,2,239
12225,12206,2,239
12226,12206,2,239
12227,12206,2,239
12228,12206,2,239
12221,12206,2,239
12218,12206,2,239
12217,12206,2,239
12216,12206,2,239
12215,12206,2,239
12214,12206,2,239
12213,12206,2,239
12212,12206,2,239
12211,12206,2,239
12210,12206,2,239
12209,12206,2,239
12208,12206,2,239
12199,12206,2,239
12198,12206,2,239
12197,12206,2,239
12196,12206,2,239
12195,12206,2,239
12223,12205,2,239
12224,12205,2,239
12225,12205,2,239
12226,12205,2,239
12227,12205,2,239
12228,12205,2,239
12221,12205,2,239
12218,12205,2,239
12217,12205,2,239
12216,12205,2,239
12215,12205,2,239
12214,12205,2,239
12213,12205,2,239
12212,12205,2,239
12211,12205,2,239
12210,12205,2,239
12209,12205,2,239
12208,12205,2,239
12199,12205,2,239
12198,12205,2,239
12197,12205,2,239
12196,12205,2,239
12195,12205,2,239
